"","mean","sd"
"geral",0.99262483898124,0.00223882037306114
"c1",0.996531722117652,0.00307062589775738
"c2",0.98778013565944,0.00563326045973221
"c3",0.992726740868886,0.00495190113929223
"c4",0.992426810730222,0.00357801704706366
